,summoner_name,league_points,puuid
54,iG TheShy ToT,342,yW_cKzS6S2jjapCj5uJ_Quh7p6tsTJ4HERGZllwmp28RfR0uJ8m1R9XK0GZecsBC5VJ6Sh4DIAiQBg
55,CarrotWiz,334,pQWycSAwG7SMfp3HS1oLtNZUa9NuhPig0zQiKF9Gw69yrp5By436B7Yr12KTFMi8b8D7xBqFpy7_aQ
56,Ms MatchedSocks,332,i5CL_kAzzRJgZf4mi8c4BQoVGzrG3z5jcm6wkXkMjr_j9Q8rnDOefk5wrFA2ewrPBIgfxibwHx0MvA
57,Vorie,332,ENkcc7_SLmmotD2XwFzVBPuwvYRI2Usjbi9F1EYEVBXpYKPGlBhb-ARrlRYJF4sI3IE3T_DgdFcrhg
58,moms6res,332,tZ-TsgKwfCGI-r2miVM68YlWpmS2ZFU9j66HgDGDui6uhcBZt13elTiOUljdoRYd826P3aq4RE3jGw
59,Kurumx,331,rNr6zU0UTc03M8_LR43SddoDFf1CWfza0ejC63334ze6HYd9CJhC6u-lJSgeNqhz9b4lQytt9yDqrQ
60,OmniPie,328,FjFt-U77LpWYyADhFY8Bf1FCB3-qZtG5l8Jcs3lUVB7E1AmYmpwJ1tCylgYkCfXZxGNl5lEiLmc5mQ
61,Pumpkin K1NG,328,S4X_H884ojNq5fFkMEPcC-giB1WZbNzBG4xxN3hu0G5xlBtOi9AOsiz7G-Qk0QoCcJ7d0ugRT5ETTA
62,chickenwithboba,324,1I0nM-oSwHT8_wKpcfRNLmVogJmE_fe2Fj75tWS3X_SMFxxJ71r1CvJLDj_sYDec6bOybzXaiyZDig
63,JIGEJIUWO,318,Ep7S5_PfIl8PGt5idNzCjxx3piP2W3DF5AWgE2KwmpP3IyVZyYr0ZV31xZ4A6fVNVFuq2Q4viU9zaQ
64,HakkaNeko,313,9bhZHzIHsIQLxmcOH5yciAZHlV-GwP22yc-d_wxKYElAy3T2nYC9KF9yKY8zVh2D_sAdKxqvMf3uUw
65,paxytft,311,UgLXHuLpUytWnQDbRUbXXbobgmv_Hq2deAwTWCfmy0Jg_8uc3WDd4kqhxlzMM32xkqfYZ3B__qE2eQ
66,chitosechitose,309,iUS-RcMDCUMhYDBDM1sThFgkJWxHNQ6aNhv716BajKy82qf6-BgZpYocWixZsWNjcckMxkETelnHSA
67,exkeepcallin,300,bWZ8zsXoy66R2j9iwuLtZI-TiR1GfYdjDkBWh4Yf7a6wHa1rkMUNRS96z7A88yUz_VQtItFut2jgNg
68,BlackBigBig,296,EVEdBqTvYGs7kIDClRd-FywkXkEHE84_sIpM-ZHKKV1fS_cdMyO1xZQNJ2N3LkoOoIIstgy3fFRN4g
69,Cottontail,294,PbfQPVquuqjo-QqLBsHkC4Wr4UFh93vVY5ziNI3Z1osRXrOZT7tWvuIMklPhFrEuXNLTNYN3J9xxFw
70,FayeBae,293,o0Ps94Z5jDA1TilT43LwHaOyUuLjFKXM5AWshus3Td6dgH6mRDekYhilw-a6MxBE_greptG_Y00-1w
71,Simple Plan,285,3yW650YhBj-mJgcqQGG0obyDHGxJ7ISa1aw2QmCG2Y9mUerewEYS_0KWGq4kF83nltKMSr0CDiG3tg
72,icarus5cn,279,HGeDGOQrklxGiScizUCLq_BVn5gTYBy-DldOuy38XcaKap9o1ASZCWuQrqS52gOO9fZK48vAmPqZ0A
73,ScottyHottyTeemo,275,9rmUYbtWhlROCxlr53gUuVzas6v0QI9COaGN1ula8ewLsm8_XmVPViuYAgBGoaYGbSnGtgHn_VNHpg
74,GingerFanAccount,271,Kt5hSJj7DdRpyKVxApVjNr6jROM_eYSGjdHI7jfh5YYp2R5VjfHwIje8TKStBwDIq-FGbsy_vuuLtA
75,x BadlandzTV x,270,fuTJC-_m2i8mAkjUbgW3fLHtPZdDK3AN43EaHNHFe7-NDCIbMZdoNj_lXVrpFC_FPgo8XDkojxZ17w
76,MoistMinge,269,7JbDlm8oqwoR7bj5nOaF1ummfPaW1E_1t--2blKxJaCBhvrOZRTfDRAaAs4zT96tj96nhJ0h7PW7qw
