,puuid,match_id
23,zdUfZ0_rhBEI-Gx6ai33CxZyCZymPuL0HvZEBSTAw762LhfNNT5-ejcng-X6Nc8hT7T0miZXv0xXLQ,NA1_3249899727
24,zdUfZ0_rhBEI-Gx6ai33CxZyCZymPuL0HvZEBSTAw762LhfNNT5-ejcng-X6Nc8hT7T0miZXv0xXLQ,NA1_3249123619
25,zdUfZ0_rhBEI-Gx6ai33CxZyCZymPuL0HvZEBSTAw762LhfNNT5-ejcng-X6Nc8hT7T0miZXv0xXLQ,NA1_3249085324
26,zdUfZ0_rhBEI-Gx6ai33CxZyCZymPuL0HvZEBSTAw762LhfNNT5-ejcng-X6Nc8hT7T0miZXv0xXLQ,NA1_3249089890
27,zdUfZ0_rhBEI-Gx6ai33CxZyCZymPuL0HvZEBSTAw762LhfNNT5-ejcng-X6Nc8hT7T0miZXv0xXLQ,NA1_3247268088
28,zdUfZ0_rhBEI-Gx6ai33CxZyCZymPuL0HvZEBSTAw762LhfNNT5-ejcng-X6Nc8hT7T0miZXv0xXLQ,NA1_3247263393
29,zdUfZ0_rhBEI-Gx6ai33CxZyCZymPuL0HvZEBSTAw762LhfNNT5-ejcng-X6Nc8hT7T0miZXv0xXLQ,NA1_3247208717
30,Mtiy5xQq2B08E8UKrWt_AcHemRq40W5xJQKfC6wIONGMCJHXRQ380TPlx115FKjSDG3xWsKBPrk-8g,NA1_3250277431
31,Mtiy5xQq2B08E8UKrWt_AcHemRq40W5xJQKfC6wIONGMCJHXRQ380TPlx115FKjSDG3xWsKBPrk-8g,NA1_3250314011
32,Mtiy5xQq2B08E8UKrWt_AcHemRq40W5xJQKfC6wIONGMCJHXRQ380TPlx115FKjSDG3xWsKBPrk-8g,NA1_3250265846
33,Mtiy5xQq2B08E8UKrWt_AcHemRq40W5xJQKfC6wIONGMCJHXRQ380TPlx115FKjSDG3xWsKBPrk-8g,NA1_3250292795
34,Mtiy5xQq2B08E8UKrWt_AcHemRq40W5xJQKfC6wIONGMCJHXRQ380TPlx115FKjSDG3xWsKBPrk-8g,NA1_3250300260
35,Mtiy5xQq2B08E8UKrWt_AcHemRq40W5xJQKfC6wIONGMCJHXRQ380TPlx115FKjSDG3xWsKBPrk-8g,NA1_3250215699
36,Mtiy5xQq2B08E8UKrWt_AcHemRq40W5xJQKfC6wIONGMCJHXRQ380TPlx115FKjSDG3xWsKBPrk-8g,NA1_3250221452
37,Mtiy5xQq2B08E8UKrWt_AcHemRq40W5xJQKfC6wIONGMCJHXRQ380TPlx115FKjSDG3xWsKBPrk-8g,NA1_3249469535
38,Mtiy5xQq2B08E8UKrWt_AcHemRq40W5xJQKfC6wIONGMCJHXRQ380TPlx115FKjSDG3xWsKBPrk-8g,NA1_3249477357
